Obs ID,12m MOUS ID,7m MOUS ID,TP MOUS ID
a,X1590_X30aa,X1590_X30ac,X1590_X30ae
b,X15a0_Xa6,X15b4_X37,X15a0_Xaa
c,X15a0_Xac,X15a0_Xae,X15a0_Xb0
d,X15a0_Xb2,X15a0_Xb4,X15a0_Xb6
e,X15a0_Xb8,X15b4_X39,X15a0_Xbc
f,X15a0_Xbe,X15a0_Xc0,X15a0_Xc2
g,X15a0_Xc4,X15a0_Xc6,X15a0_Xc8
h,X15a0_Xca,X15a0_Xcc,X15a0_Xce
i,X15a0_Xd0,X15b4_Xc5,X15a0_Xd4
j,X15b4_X3d,X15a0_Xd8,X15b4_X3f
k,X15a0_Xdc,X15a0_Xde,X15a0_Xe0
l,X15a0_Xe2,X15a0_Xe4,X15a0_Xe6
m,X15b4_X41,X15b4_X43,X15b4_X45
n,X15a0_Xee,X15a0_Xf0,X15a0_Xf2
o,X15a0_Xf4,X15a0_Xf6,X15a0_Xf8
p,X15a0_Xfa,X15a0_Xfc,X15a0_Xfe
q,X15a0_X100,X15a0_X102,X15a0_X104
r,X15a0_X106,X15a0_X108,X15a0_X10a
s,X15a0_X10c,X15a0_X10e,X15a0_X110
t,X15a0_X112,X15a0_X114,X15a0_X116
u,X15a0_X118,X15a0_X11a,X15a0_X11c
v,X15a0_X11e,X15a0_X120,X15a0_X122
w,X15a0_X124,X15a0_X126,X15a0_X128
x,X15a0_X12a,X15a0_X12c,X15a0_X12e
y,X15a0_X130,X15a0_X132,X15a0_X134
z,X15a0_X136,X15a9_X12d3,X15a0_X13a
aa,X15a0_X13c,X15a0_X13e,X15a0_X140
ab,X15a0_X142,X15a0_X144,X15a0_X146
ac,X15a0_X148,X15a0_X14a,X15a0_X14c
ad,X15a0_X14e,X15a0_X150,X15a0_X152
ae,X15a0_X154,X15a0_X156,X15a0_X158
af,X15a0_X15a,X15a0_X15c,X15a0_X15e
ag,X15a0_X160,X15a0_X162,X15a0_X164
ah,X15a0_X166,X15a0_X168,X15a0_X16a
ai,X15a0_X16c,X15a0_X16e,X15a0_X170
aj,X15a0_X172,X15b4_X47,X15b4_X49
ak,X15b4_X4b,X15a9_X12d5,X15b4_X4d
al,X15a0_X17e,X15a0_X180,X15a0_X182
am,X15a0_X184,X15a0_X186,X15a0_X188
an,X15a0_X18a,X15a0_X18c,X15a0_X18e
ao,X15a0_X190,X15a0_X192,X15a0_X194
ap,X15a0_X196,X15a0_X198,X3577_X6c5
aq,X15a0_X19c,X15a0_X19e,X15a0_X1a0
ar,X15a0_X1a2,X15b4_X4f,X15a0_X1a6
as,X15a0_X1a8,X15a0_X1aa,X15a0_X1ac
